class,nimages_seq,signal_noise_median,signal_median
OTHER,64,3.395086079052016,2561.955078125
OTHER,46,5.487613855316143,2305.3369140625
OTHER,145,1.9657693558800382,2146.72265625
OTHER,112,11.55269200138801,1969.0472412109375
OTHER,133,4.897727688222682,2055.192626953125
OTHER,130,1.3226843387345257,1670.2225341796875
OTHER,105,0.8502666819533566,2637.98681640625
OTHER,47,1.5973191932231674,2157.8115234375
OTHER,101,15.986734748620592,2066.9658203125
OTHER,37,3.2303296110184316,2332.70849609375
OTHER,39,2.6296357065825564,2929.1689453125
OTHER,102,1.637090170427664,2324.43017578125
OTHER,122,1.110591392862499,2364.719482421875
OTHER,24,13.336813388640534,2653.982421875
OTHER,108,4.4870301471519864,1951.798095703125
OTHER,72,30.158625925005296,2007.604736328125
OTHER,75,1.5329236804768047,2199.001953125
OTHER,120,23.505692664405423,1994.188232421875
OTHER,122,57.24219322815,2601.2965087890625
OTHER,114,21.5739952668847,2540.2080078125
OTHER,137,7.333750837032232,2724.01953125
OTHER,109,15.845366402601218,2053.00048828125
OTHER,181,22.550687531980046,2044.4072265625
OTHER,135,1.5815300064254014,2103.93798828125
OTHER,63,20.652123817714845,1972.32666015625
OTHER,67,23.47117296690064,1713.9296875
OTHER,120,4.936942649989922,2221.46875
OTHER,71,1.756581908045549,2094.1953125
OTHER,137,15.620732921111765,1785.431640625
OTHER,154,8.44320188435443,2394.2158203125
OTHER,101,2.3168684213141235,2043.189208984375
OTHER,80,3.1328143193667053,2180.4736328125
OTHER,115,1.1280339730503628,2255.388671875
OTHER,99,2.220849394231943,2036.1455078125
OTHER,34,5.483051044205903,1808.5146484375
OTHER,132,2.048218543408206,2364.76708984375
OTHER,125,74.88966716751105,1981.3544921875
OTHER,98,6.558461305707322,2042.0921630859375
OTHER,83,1.841764811089493,1929.669921875
OTHER,133,15.385101925690897,1760.046875
OTHER,33,46.382939644655515,2629.599609375
OTHER,120,30.817028586058335,2487.51611328125
OTHER,89,18.986676702094684,2318.89404296875
